
  ZVR, 2.05

  stimulus-start        ; stimulus-stop       ; stimulus-unit       ; nof-points; parameter-type; impedance-ohm
  9.00000000000E+03     ; 1.00000000000E+08   ; Hz                  ; 2001      ; S11           ; 50        

  conversion            ; time-domain         ; data-format         ; param-unit; smoothing     ; trace-math
  S                     ; none                ; RI                  ; none      ; none          ; none

  sweep-mode-type       ; notlinear-meas-mode 
  FUNDAMENTAL           ; none                


  freq              ;  reS11        ; imS11         
   9.00000000000E+03;  0.943485     ; 0.157131     
   9.04201843582E+03;  0.944842     ; 0.159091     
   9.08423304375E+03;  0.948436     ; 0.158755     
   9.12664473965E+03;  0.951478     ; 0.158507     
   9.16925444368E+03;  0.947822     ; 0.162078     
   9.21206308028E+03;  0.948033     ; 0.15769      
   9.25507157820E+03;  0.948497     ; 0.15436      
   9.29828087055E+03;  0.947399     ; 0.155015     
   9.34169189477E+03;  0.948393     ; 0.154405     
   9.38530559270E+03;  0.948868     ; 0.153924     
   9.42912291056E+03;  0.948831     ; 0.153502     
   9.47314479899E+03;  0.948863     ; 0.153805     
   9.51737221307E+03;  0.950224     ; 0.151986     
   9.56180611235E+03;  0.949429     ; 0.152732     
   9.60644746085E+03;  0.950172     ; 0.151768     
   9.65129722708E+03;  0.95061      ; 0.151809     
   9.69635638410E+03;  0.950053     ; 0.151625     
   9.74162590948E+03;  0.950157     ; 0.150907     
   9.78710678538E+03;  0.950922     ; 0.150836     
   9.83279999853E+03;  0.952294     ; 0.150151     
   9.87870654027E+03;  0.951767     ; 0.150259     
   9.92482740658E+03;  0.953254     ; 0.1486       
   9.97116359807E+03;  0.952519     ; 0.14917      
   1.00177161200E+04;  0.952222     ; 0.147999     
   1.00644859825E+04;  0.9536       ; 0.146948     
   1.01114742001E+04;  0.95396      ; 0.147554     
   1.01586817922E+04;  0.954679     ; 0.147503     
   1.02061097832E+04;  0.954582     ; 0.146638     
   1.02537592020E+04;  0.954771     ; 0.14619      
   1.03016310823E+04;  0.955054     ; 0.145434     
   1.03497264628E+04;  0.955158     ; 0.145135     
   1.03980463870E+04;  0.955561     ; 0.144484     
   1.04465919031E+04;  0.955935     ; 0.14428      
   1.04953640643E+04;  0.955918     ; 0.144461     
   1.05443639289E+04;  0.955858     ; 0.143946     
   1.05935925599E+04;  0.957032     ; 0.143511     
   1.06430510254E+04;  0.959406     ; 0.144622     
   1.06927403983E+04;  0.959483     ; 0.144215     
   1.07426617568E+04;  0.958315     ; 0.142509     
   1.07928161838E+04;  0.95778      ; 0.141031     
   1.08432047676E+04;  0.958034     ; 0.14045      
   1.08938286014E+04;  0.958272     ; 0.140761     
   1.09446887834E+04;  0.959203     ; 0.139754     
   1.09957864171E+04;  0.959032     ; 0.139897     
   1.10471226110E+04;  0.95902      ; 0.138752     
   1.10986984791E+04;  0.959678     ; 0.138063     
   1.11505151402E+04;  0.959983     ; 0.137718     
   1.12025737185E+04;  0.960015     ; 0.137986     
   1.12548753435E+04;  0.960457     ; 0.137031     
   1.13074211498E+04;  0.960746     ; 0.136636     
   1.13602122776E+04;  0.961176     ; 0.136376     
   1.14132498721E+04;  0.961584     ; 0.135769     
   1.14665350840E+04;  0.961586     ; 0.135697     
   1.15200690694E+04;  0.961977     ; 0.135077     
   1.15738529897E+04;  0.962158     ; 0.13462      
   1.16278880118E+04;  0.962926     ; 0.134058     
   1.16821753081E+04;  0.962735     ; 0.133655     
   1.17367160562E+04;  0.963104     ; 0.133249     
   1.17915114396E+04;  0.963542     ; 0.132588     
   1.18465626470E+04;  0.963449     ; 0.132414     
   1.19018708728E+04;  0.963861     ; 0.132079     
   1.19574373170E+04;  0.96422      ; 0.131711     
   1.20132631851E+04;  0.964557     ; 0.130956     
   1.20693496882E+04;  0.964961     ; 0.130655     
   1.21256980432E+04;  0.96474      ; 0.130612     
   1.21823094727E+04;  0.965018     ; 0.129817     
   1.22391852047E+04;  0.965431     ; 0.129379     
   1.22963264734E+04;  0.965953     ; 0.128638     
   1.23537345184E+04;  0.965984     ; 0.128386     
   1.24114105852E+04;  0.966361     ; 0.128016     
   1.24693559251E+04;  0.966718     ; 0.127533     
   1.25275717953E+04;  0.966863     ; 0.127019     
