
  ZVR, 2.05

  stimulus-start        ; stimulus-stop       ; stimulus-unit       ; nof-points; parameter-type; impedance-ohm
  9.00000000000E+03     ; 1.00000000000E+08   ; Hz                  ; 2001      ; S11           ; 50        

  conversion            ; time-domain         ; data-format         ; param-unit; smoothing     ; trace-math
  S                     ; none                ; RI                  ; none      ; none          ; none

  sweep-mode-type       ; notlinear-meas-mode 
  FUNDAMENTAL           ; none                


  freq              ;  reS11        ; imS11         
   9.00000000000E+03;  0.826359     ; 0.442587     
   9.04201843582E+03;  0.827597     ; 0.443521     
   9.08423304375E+03;  0.83084      ; 0.443883     
   9.12664473965E+03;  0.834461     ; 0.443784     
   9.16925444368E+03;  0.830947     ; 0.443976     
   9.21206308028E+03;  0.833587     ; 0.4392       
   9.25507157820E+03;  0.835498     ; 0.435486     
   9.29828087055E+03;  0.835735     ; 0.434211     
   9.34169189477E+03;  0.837175     ; 0.432774     
   9.38530559270E+03;  0.838733     ; 0.431148     
   9.42912291056E+03;  0.839508     ; 0.430041     
   9.47314479899E+03;  0.839975     ; 0.428656     
   9.51737221307E+03;  0.841706     ; 0.42821      
   9.56180611235E+03;  0.84266      ; 0.426071     
   9.60644746085E+03;  0.84428      ; 0.425127     
   9.65129722708E+03;  0.843514     ; 0.423117     
   9.69635638410E+03;  0.844699     ; 0.421143     
   9.74162590948E+03;  0.845644     ; 0.419885     
   9.78710678538E+03;  0.846462     ; 0.419309     
   9.83279999853E+03;  0.848823     ; 0.418134     
   9.87870654027E+03;  0.850613     ; 0.416099     
   9.92482740658E+03;  0.85177      ; 0.414449     
   9.97116359807E+03;  0.851093     ; 0.41327      
   1.00177161200E+04;  0.853879     ; 0.411203     
   1.00644859825E+04;  0.855363     ; 0.410217     
   1.01114742001E+04;  0.856287     ; 0.408988     
   1.01586817922E+04;  0.856259     ; 0.407642     
   1.02061097832E+04;  0.857631     ; 0.406665     
   1.02537592020E+04;  0.858782     ; 0.405006     
   1.03016310823E+04;  0.859457     ; 0.403486     
   1.03497264628E+04;  0.860414     ; 0.401831     
   1.03980463870E+04;  0.861684     ; 0.400769     
   1.04465919031E+04;  0.862652     ; 0.399663     
   1.04953640643E+04;  0.863129     ; 0.397778     
   1.05443639289E+04;  0.863837     ; 0.397191     
   1.05935925599E+04;  0.864743     ; 0.39627      
   1.06430510254E+04;  0.86765      ; 0.396654     
   1.06927403983E+04;  0.868576     ; 0.394228     
   1.07426617568E+04;  0.868984     ; 0.392097     
   1.07928161838E+04;  0.869295     ; 0.389334     
   1.08432047676E+04;  0.870419     ; 0.387779     
   1.08938286014E+04;  0.870439     ; 0.386787     
   1.09446887834E+04;  0.872098     ; 0.385376     
