
  ZVR, 2.05

  stimulus-start        ; stimulus-stop       ; stimulus-unit       ; nof-points; parameter-type; impedance-ohm
  9.00000000000E+03     ; 1.00000000000E+08   ; Hz                  ; 2001      ; S11           ; 50        

  conversion            ; time-domain         ; data-format         ; param-unit; smoothing     ; trace-math
  S                     ; none                ; RI                  ; none      ; none          ; none

  sweep-mode-type       ; notlinear-meas-mode 
  FUNDAMENTAL           ; none                


  freq              ;  reS11        ; imS11         
   9.00000000000E+03; -0.965747     ;-0.00371569   
   9.04201843582E+03; -0.9662       ;-0.00302127   
   9.08423304375E+03; -0.965853     ;-0.00225699   
   9.12664473965E+03; -0.965578     ;-0.00175297   
   9.16925444368E+03; -0.967528     ;-0.00228462   
   9.21206308028E+03; -0.966377     ;-0.00288808   
   9.25507157820E+03; -0.965347     ;-0.00339451   
   9.29828087055E+03; -0.965712     ;-0.00368759   
   9.34169189477E+03; -0.96587      ;-0.00335148   
   9.38530559270E+03; -0.965947     ;-0.00338501   
   9.42912291056E+03; -0.965792     ;-0.00333747   
   9.47314479899E+03; -0.965569     ;-0.00375631   
   9.51737221307E+03; -0.965886     ;-0.00406975   
   9.56180611235E+03; -0.965849     ;-0.00358254   
   9.60644746085E+03; -0.966336     ;-0.00428283   
   9.65129722708E+03; -0.96588      ;-0.00425732   
   9.69635638410E+03; -0.965819     ;-0.00424451   
   9.74162590948E+03; -0.96584      ;-0.00424692   
   9.78710678538E+03; -0.966034     ;-0.00451678   
   9.83279999853E+03; -0.966611     ;-0.00427803   
   9.87870654027E+03; -0.966345     ;-0.00384626   
   9.92482740658E+03; -0.966151     ;-0.00442702   
   9.97116359807E+03; -0.966221     ;-0.00420719   
   1.00177161200E+04; -0.966535     ;-0.00446892   
   1.00644859825E+04; -0.96628      ;-0.00454402   
   1.01114742001E+04; -0.966394     ;-0.00434804   
   1.01586817922E+04; -0.96634      ;-0.00421724   
   1.02061097832E+04; -0.96637      ;-0.00458157   
   1.02537592020E+04; -0.966536     ;-0.00453874   
