
  ZVR, 2.05

  stimulus-start        ; stimulus-stop       ; stimulus-unit       ; nof-points; parameter-type; impedance-ohm
  9.00000000000E+03     ; 1.00000000000E+08   ; Hz                  ; 2001      ; S11           ; 50        

  conversion            ; time-domain         ; data-format         ; param-unit; smoothing     ; trace-math
  S                     ; none                ; RI                  ; none      ; none          ; none

  sweep-mode-type       ; notlinear-meas-mode 
  FUNDAMENTAL           ; none                


  freq              ;  reS11        ; imS11         
   9.00000000000E+03;  0.848598     ; 0.402866     
   9.04201843582E+03;  0.849738     ; 0.403678     
   9.08423304375E+03;  0.852833     ; 0.403462     
   9.12664473965E+03;  0.855775     ; 0.403489     
   9.16925444368E+03;  0.852583     ; 0.403509     
   9.21206308028E+03;  0.85503      ; 0.398459     
   9.25507157820E+03;  0.857154     ; 0.394226     
   9.29828087055E+03;  0.857445     ; 0.392801     
   9.34169189477E+03;  0.859441     ; 0.39094      
   9.38530559270E+03;  0.860901     ; 0.389412     
   9.42912291056E+03;  0.861801     ; 0.387353     
   9.47314479899E+03;  0.862243     ; 0.386445     
   9.51737221307E+03;  0.862488     ; 0.384672     
   9.56180611235E+03;  0.864718     ; 0.382482     
   9.60644746085E+03;  0.864485     ; 0.381796     
   9.65129722708E+03;  0.865906     ; 0.379213     
   9.69635638410E+03;  0.867391     ; 0.37717      
   9.74162590948E+03;  0.868342     ; 0.375273     
   9.78710678538E+03;  0.868827     ; 0.374211     
   9.83279999853E+03;  0.870446     ; 0.373402     
   9.87870654027E+03;  0.872934     ; 0.371327     
   9.92482740658E+03;  0.873337     ; 0.369312     
   9.97116359807E+03;  0.874647     ; 0.366813     
   1.00177161200E+04;  0.875688     ; 0.365663     
   1.00644859825E+04;  0.876753     ; 0.363582     
   1.01114742001E+04;  0.878432     ; 0.362805     
   1.01586817922E+04;  0.879551     ; 0.360746     
   1.02061097832E+04;  0.87956      ; 0.359295     
   1.02537592020E+04;  0.881043     ; 0.357225     
   1.03016310823E+04;  0.881875     ; 0.355217     
   1.03497264628E+04;  0.883034     ; 0.353791     
   1.03980463870E+04;  0.88357      ; 0.35195      
   1.04465919031E+04;  0.884539     ; 0.350636     
   1.04953640643E+04;  0.885922     ; 0.349098     
   1.05443639289E+04;  0.886087     ; 0.346956     
   1.05935925599E+04;  0.886947     ; 0.345665     
   1.06430510254E+04;  0.890444     ; 0.345695     
   1.06927403983E+04;  0.891846     ; 0.344237     
   1.07426617568E+04;  0.891067     ; 0.341362     
   1.07928161838E+04;  0.891588     ; 0.338392     
   1.08432047676E+04;  0.893104     ; 0.336232     
   1.08938286014E+04;  0.893889     ; 0.334292     
   1.09446887834E+04;  0.894788     ; 0.333171     
   1.09957864171E+04;  0.89589      ; 0.33098      
   1.10471226110E+04;  0.89712      ; 0.329669     
   1.10986984791E+04;  0.897877     ; 0.327815     
   1.11505151402E+04;  0.898906     ; 0.32621      
   1.12025737185E+04;  0.900163     ; 0.324223     
   1.12548753435E+04;  0.900286     ; 0.322822     
   1.13074211498E+04;  0.901545     ; 0.321029     
   1.13602122776E+04;  0.902378     ; 0.319451     
   1.14132498721E+04;  0.9033       ; 0.317525     
   1.14665350840E+04;  0.904507     ; 0.31583      
   1.15200690694E+04;  0.905182     ; 0.314055     
   1.15738529897E+04;  0.906024     ; 0.31254      
   1.16278880118E+04;  0.90688      ; 0.310646     
   1.16821753081E+04;  0.907816     ; 0.30895      
   1.17367160562E+04;  0.909137     ; 0.307185     
   1.17915114396E+04;  0.909731     ; 0.305685     
   1.18465626470E+04;  0.910572     ; 0.304421     
   1.19018708728E+04;  0.911604     ; 0.302204     
   1.19574373170E+04;  0.912047     ; 0.300369     
   1.20132631851E+04;  0.91345      ; 0.298833     
   1.20693496882E+04;  0.913743     ; 0.297226     
   1.21256980432E+04;  0.914669     ; 0.29516      
   1.21823094727E+04;  0.915345     ; 0.29371      
   1.22391852047E+04;  0.916241     ; 0.292097     
   1.22963264734E+04;  0.917483     ; 0.290011     
   1.23537345184E+04;  0.918151     ; 0.288352     
   1.24114105852E+04;  0.919264     ; 0.286572     
   1.24693559251E+04;  0.919855     ; 0.285103     
   1.25275717953E+04;  0.920603     ; 0.283419     
   1.25860594587E+04;  0.921517     ; 0.281718     
   1.26448201845E+04;  0.922184     ; 0.279979     
   1.27038552473E+04;  0.923119     ; 0.278221     
   1.27631659280E+04;  0.923775     ; 0.276578     
   1.28227535134E+04;  0.924526     ; 0.274891     
   1.28826192962E+04;  0.92539      ; 0.273113     
   1.29427645754E+04;  0.926089     ; 0.271469     
   1.30031906557E+04;  0.926527     ; 0.269782     
   1.30638988481E+04;  0.927628     ; 0.267947     
   1.31248904698E+04;  0.928493     ; 0.266589     
   1.31861668440E+04;  0.929244     ; 0.26469      
   1.32477293002E+04;  0.92973      ; 0.263115     
   1.33095791739E+04;  0.930704     ; 0.261278     
   1.33717178070E+04;  0.931264     ; 0.259614     
   1.34341465477E+04;  0.932077     ; 0.257939     
   1.34968667505E+04;  0.932921     ; 0.256342     
   1.35598797759E+04;  0.933629     ; 0.254537     
   1.36231869913E+04;  0.935504     ; 0.253673     
   1.36867897700E+04;  0.938164     ; 0.252534     
   1.37506894919E+04;  0.940033     ; 0.251401     
   1.38148875435E+04;  0.93754      ; 0.249135     
   1.38793853174E+04;  0.93805      ; 0.247021     
   1.39441842131E+04;  0.939231     ; 0.244684     
   1.40092856364E+04;  0.939231     ; 0.242577     
   1.40746909997E+04;  0.940009     ; 0.241302     
   1.41404017219E+04;  0.940665     ; 0.239746     
   1.42064192289E+04;  0.941449     ; 0.237711     
   1.42727449527E+04;  0.941955     ; 0.236021     
   1.43393803325E+04;  0.94272      ; 0.234698     
   1.44063268138E+04;  0.943533     ; 0.233064     
   1.44735858492E+04;  0.943992     ; 0.230962     
   1.45411588979E+04;  0.944064     ; 0.229769     
   1.46090474259E+04;  0.945687     ; 0.228112     
   1.46772529061E+04;  0.946179     ; 0.225995     
   1.47457768182E+04;  0.946431     ; 0.225381     
   1.48146206490E+04;  0.94701      ; 0.222785     
   1.48837858920E+04;  0.947513     ; 0.22088      
   1.49532740478E+04;  0.948415     ; 0.219233     
   1.50230866240E+04;  0.948749     ; 0.217209     
   1.50932251352E+04;  0.949684     ; 0.216051     
   1.51636911032E+04;  0.950036     ; 0.21443      
   1.52344860567E+04;  0.950169     ; 0.213804     
   1.53056115317E+04;  0.95126      ; 0.212253     
   1.53770690712E+04;  0.952388     ; 0.20991      
   1.54488602256E+04;  0.952876     ; 0.208326     
   1.55209865525E+04;  0.953519     ; 0.206147     
   1.55934496167E+04;  0.953778     ; 0.204382     
   1.56662509902E+04;  0.953645     ; 0.20293      
