
  ZVR, 2.05

  stimulus-start        ; stimulus-stop       ; stimulus-unit       ; nof-points; parameter-type; impedance-ohm
  9.00000000000E+03     ; 1.00000000000E+08   ; Hz                  ; 2001      ; S11           ; 50        

  conversion            ; time-domain         ; data-format         ; param-unit; smoothing     ; trace-math
  S                     ; none                ; RI                  ; none      ; none          ; none

  sweep-mode-type       ; notlinear-meas-mode 
  FUNDAMENTAL           ; none                


  freq              ;  reS11        ; imS11         
   9.00000000000E+03; -0.668495     ; 0.0441872    
   9.04201843582E+03; -0.668883     ; 0.0445817    
   9.08423304375E+03; -0.669139     ; 0.0452037    
   9.12664473965E+03; -0.669343     ; 0.0458517    
   9.16925444368E+03; -0.670041     ; 0.0452974    
   9.21206308028E+03; -0.669215     ; 0.0454829    
   9.25507157820E+03; -0.668671     ; 0.0456044    
   9.29828087055E+03; -0.66884      ; 0.0455213    
   9.34169189477E+03; -0.668763     ; 0.0458702    
   9.38530559270E+03; -0.66878      ; 0.0461144    
   9.42912291056E+03; -0.668689     ; 0.0461319    
   9.47314479899E+03; -0.668784     ; 0.0462086    
   9.51737221307E+03; -0.669237     ; 0.0463466    
   9.56180611235E+03; -0.66876      ; 0.0465676    
   9.60644746085E+03; -0.669392     ; 0.0468633    
   9.65129722708E+03; -0.669025     ; 0.0466781    
   9.69635638410E+03; -0.668862     ; 0.0468668    
   9.74162590948E+03; -0.668869     ; 0.0469911    
   9.78710678538E+03; -0.669174     ; 0.0471113    
   9.83279999853E+03; -0.669442     ; 0.0477163    
   9.87870654027E+03; -0.66906      ; 0.0480637    
   9.92482740658E+03; -0.669268     ; 0.0481297    
   9.97116359807E+03; -0.668992     ; 0.0480422    
   1.00177161200E+04; -0.669263     ; 0.0484374    
   1.00644859825E+04; -0.669355     ; 0.0485479    
   1.01114742001E+04; -0.669261     ; 0.0489045    
   1.01586817922E+04; -0.669132     ; 0.0489875    
   1.02061097832E+04; -0.669406     ; 0.0491735    
   1.02537592020E+04; -0.669388     ; 0.0494027    
   1.03016310823E+04; -0.669375     ; 0.0495395    
   1.03497264628E+04; -0.669422     ; 0.0497355    
   1.03980463870E+04; -0.669503     ; 0.0498419    
   1.04465919031E+04; -0.669565     ; 0.0500785    
   1.04953640643E+04; -0.669556     ; 0.050487     
   1.05443639289E+04; -0.66961      ; 0.0503948    
   1.05935925599E+04; -0.669793     ; 0.0506527    
   1.06430510254E+04; -0.669645     ; 0.0512187    
   1.06927403983E+04; -0.669774     ; 0.0516629    
   1.07426617568E+04; -0.669913     ; 0.0515599    
   1.07928161838E+04; -0.669875     ; 0.0516329    
   1.08432047676E+04; -0.669674     ; 0.0518604    
   1.08938286014E+04; -0.669499     ; 0.0518541    
   1.09446887834E+04; -0.669859     ; 0.0522783    
   1.09957864171E+04; -0.669538     ; 0.0522714    
   1.10471226110E+04; -0.669778     ; 0.0528064    
   1.10986984791E+04; -0.669912     ; 0.0528709    
   1.11505151402E+04; -0.669937     ; 0.0531467    
   1.12025737185E+04; -0.669685     ; 0.0533204    
   1.12548753435E+04; -0.670014     ; 0.0534302    
   1.13074211498E+04; -0.669999     ; 0.0537889    
   1.13602122776E+04; -0.670003     ; 0.0540003    
   1.14132498721E+04; -0.670007     ; 0.0541491    
   1.14665350840E+04; -0.669962     ; 0.0544481    
   1.15200690694E+04; -0.670091     ; 0.0546669    
   1.15738529897E+04; -0.670107     ; 0.054897     
   1.16278880118E+04; -0.670204     ; 0.0552082    
   1.16821753081E+04; -0.670164     ; 0.0554       
   1.17367160562E+04; -0.670183     ; 0.0557375    
   1.17915114396E+04; -0.670279     ; 0.0559904    
   1.18465626470E+04; -0.670322     ; 0.0563633    
   1.19018708728E+04; -0.670143     ; 0.0564706    
   1.19574373170E+04; -0.670277     ; 0.0564835    
   1.20132631851E+04; -0.670337     ; 0.0569769    
   1.20693496882E+04; -0.670469     ; 0.0571434    
   1.21256980432E+04; -0.670379     ; 0.0572839    
   1.21823094727E+04; -0.670412     ; 0.0575689    
   1.22391852047E+04; -0.670468     ; 0.0580118    
   1.22963264734E+04; -0.670387     ; 0.0582851    
   1.23537345184E+04; -0.670502     ; 0.0584108    
   1.24114105852E+04; -0.670506     ; 0.0587128    
   1.24693559251E+04; -0.670502     ; 0.0590428    
   1.25275717953E+04; -0.670587     ; 0.0593072    
   1.25860594587E+04; -0.670512     ; 0.0595435    
   1.26448201845E+04; -0.670597     ; 0.0598078    
   1.27038552473E+04; -0.670681     ; 0.0601309    
   1.27631659280E+04; -0.670601     ; 0.0604327    
   1.28227535134E+04; -0.670732     ; 0.0606712    
   1.28826192962E+04; -0.670724     ; 0.0610045    
   1.29427645754E+04; -0.670659     ; 0.0612498    
   1.30031906557E+04; -0.670819     ; 0.0615419    
   1.30638988481E+04; -0.670683     ; 0.0619046    
   1.31248904698E+04; -0.670824     ; 0.0621932    
   1.31861668440E+04; -0.670912     ; 0.0623739    
   1.32477293002E+04; -0.670901     ; 0.0627289    
   1.33095791739E+04; -0.670835     ; 0.0630627    
   1.33717178070E+04; -0.670838     ; 0.0632358    
   1.34341465477E+04; -0.670884     ; 0.0636288    
   1.34968667505E+04; -0.671419     ; 0.0638019    
   1.35598797759E+04; -0.671516     ; 0.0640322    
   1.36231869913E+04; -0.671354     ; 0.0644219    
   1.36867897700E+04; -0.671176     ; 0.0645345    
   1.37506894919E+04; -0.671216     ; 0.06478      
   1.38148875435E+04; -0.671558     ; 0.0652729    
   1.38793853174E+04; -0.671528     ; 0.06576      
   1.39441842131E+04; -0.671478     ; 0.065907     
   1.40092856364E+04; -0.671596     ; 0.0661789    
   1.40746909997E+04; -0.67169      ; 0.0665717    
   1.41404017219E+04; -0.671598     ; 0.0668744    
   1.42064192289E+04; -0.671609     ; 0.06718      
   1.42727449527E+04; -0.671597     ; 0.0675007    
   1.43393803325E+04; -0.671637     ; 0.067837     
   1.44063268138E+04; -0.67166      ; 0.0682463    
   1.44735858492E+04; -0.671754     ; 0.0684423    
   1.45411588979E+04; -0.671587     ; 0.0688496    
   1.46090474259E+04; -0.671626     ; 0.0691866    
   1.46772529061E+04; -0.671744     ; 0.0694253    
   1.47457768182E+04; -0.671642     ; 0.0699652    
   1.48146206490E+04; -0.671708     ; 0.0701763    
   1.48837858920E+04; -0.671782     ; 0.0706448    
   1.49532740478E+04; -0.67184      ; 0.0709352    
   1.50230866240E+04; -0.671893     ; 0.0713344    
   1.50932251352E+04; -0.671864     ; 0.0715866    
   1.51636911032E+04; -0.671953     ; 0.0720651    
   1.52344860567E+04; -0.671708     ; 0.0724181    
   1.53056115317E+04; -0.671696     ; 0.0727355    
   1.53770690712E+04; -0.671914     ; 0.0730839    
   1.54488602256E+04; -0.671803     ; 0.0734163    
   1.55209865525E+04; -0.671938     ; 0.0738145    
   1.55934496167E+04; -0.671944     ; 0.0741745    
   1.56662509902E+04; -0.671948     ; 0.0747095    
   1.57393922526E+04; -0.671765     ; 0.0749548    
   1.58128749908E+04; -0.671744     ; 0.0753221    
   1.58867007989E+04; -0.671795     ; 0.0757325    
   1.59608712786E+04; -0.671426     ; 0.076202     
   1.60353880393E+04; -0.671515     ; 0.0766075    
   1.61102526974E+04; -0.671574     ; 0.0770649    
   1.61854668773E+04; -0.671593     ; 0.0773545    
   1.62610322108E+04; -0.671491     ; 0.0778835    
   1.63369503372E+04; -0.671509     ; 0.0783956    
   1.64132229038E+04; -0.67143      ; 0.0785845    
   1.64898515653E+04; -0.671546     ; 0.0790713    
   1.65668379841E+04; -0.671505     ; 0.079376     
   1.66441838307E+04; -0.671407     ; 0.0798687    
   1.67218907829E+04; -0.671137     ; 0.0802683    
   1.67999605267E+04; -0.67071      ; 0.0806681    
   1.68783947560E+04; -0.67109      ; 0.0810549    
   1.69571951723E+04; -0.67149      ; 0.0813474    
   1.70363634853E+04; -0.671458     ; 0.081816     
   1.71159014126E+04; -0.671425     ; 0.0822711    
   1.71958106798E+04; -0.671404     ; 0.0826865    
   1.72760930207E+04; -0.671365     ; 0.0830214    
   1.73567501769E+04; -0.671362     ; 0.0834071    
   1.74377838984E+04; -0.671512     ; 0.0837867    
   1.75191959432E+04; -0.671373     ; 0.0842121    
   1.76009880777E+04; -0.67136      ; 0.0846985    
   1.76831620763E+04; -0.671193     ; 0.0852015    
   1.77657197220E+04; -0.671216     ; 0.0855765    
   1.78486628058E+04; -0.671204     ; 0.0859335    
   1.79319931272E+04; -0.67132      ; 0.0864551    
   1.80157124941E+04; -0.671303     ; 0.0869132    
   1.80998227229E+04; -0.671252     ; 0.0873926    
   1.81843256384E+04; -0.671151     ; 0.0877553    
   1.82692230739E+04; -0.67085      ; 0.088111     
   1.83545168714E+04; -0.67092      ; 0.0886912    
   1.84402088813E+04; -0.671107     ; 0.0891377    
   1.85263009628E+04; -0.671383     ; 0.0895489    
   1.86127949837E+04; -0.671205     ; 0.0900806    
   1.86996928205E+04; -0.671139     ; 0.0905357    
   1.87869963586E+04; -0.671178     ; 0.0910241    
   1.88747074920E+04; -0.671158     ; 0.0915266    
   1.89628281237E+04; -0.671165     ; 0.0919191    
   1.90513601656E+04; -0.671226     ; 0.0923884    
   1.91403055383E+04; -0.670998     ; 0.0928557    
   1.92296661716E+04; -0.671053     ; 0.0933853    
   1.93194440042E+04; -0.67102      ; 0.0937896    
   1.94096409840E+04; -0.671083     ; 0.0942018    
   1.95002590678E+04; -0.670999     ; 0.0947135    
   1.95913002216E+04; -0.67106      ; 0.0952353    
   1.96827664206E+04; -0.670987     ; 0.0957851    
   1.97746596492E+04; -0.670937     ; 0.0962941    
   1.98669819012E+04; -0.670826     ; 0.0967111    
   1.99597351794E+04; -0.670901     ; 0.0971499    
   2.00529214962E+04; -0.676793     ; 0.0996065    
   2.01465428734E+04; -0.676154     ; 0.0999633    
   2.02406013422E+04; -0.676254     ; 0.100532     
   2.03350989431E+04; -0.676242     ; 0.101021     
   2.04300377265E+04; -0.67609      ; 0.101614     
   2.05254197519E+04; -0.676043     ; 0.102035     
   2.06212470888E+04; -0.676136     ; 0.102483     
   2.07175218163E+04; -0.67602      ; 0.103026     
   2.08142460231E+04; -0.676013     ; 0.103588     
   2.09114218076E+04; -0.675938     ; 0.104126     
   2.10090512782E+04; -0.675992     ; 0.10467      
   2.11071365529E+04; -0.675872     ; 0.105149     
   2.12056797599E+04; -0.675936     ; 0.105672     
   2.13046830370E+04; -0.675989     ; 0.106393     
   2.14041485322E+04; -0.67599      ; 0.106899     
   2.15040784035E+04; -0.675602     ; 0.107413     
   2.16044748189E+04; -0.675614     ; 0.107984     
   2.17053399565E+04; -0.675523     ; 0.108423     
   2.18066760047E+04; -0.675424     ; 0.10901      
   2.19084851621E+04; -0.675425     ; 0.109583     
   2.20107696374E+04; -0.675374     ; 0.110162     
   2.21135316497E+04; -0.67527      ; 0.110727     
   2.22167734287E+04; -0.675066     ; 0.111255     
   2.23204972141E+04; -0.675046     ; 0.111581     
   2.24247052562E+04; -0.675064     ; 0.112525     
   2.25293998161E+04; -0.674978     ; 0.11303      
   2.26345831650E+04; -0.674927     ; 0.11339      
   2.27402575850E+04; -0.674895     ; 0.114021     
   2.28464253688E+04; -0.674858     ; 0.114648     
   2.29530888197E+04; -0.674781     ; 0.115271     
   2.30602502519E+04; -0.67463      ; 0.116011     
   2.31679119902E+04; -0.67458      ; 0.116554     
   2.32760763706E+04; -0.674553     ; 0.11711      
   2.33847457396E+04; -0.674521     ; 0.11772      
   2.34939224549E+04; -0.674488     ; 0.118226     
   2.36036088852E+04; -0.67443      ; 0.118755     
   2.37138074102E+04; -0.674217     ; 0.119476     
   2.38245204208E+04; -0.673995     ; 0.120148     
   2.39357503188E+04; -0.674248     ; 0.120795     
   2.40474995175E+04; -0.674053     ; 0.121286     
   2.41597704414E+04; -0.673648     ; 0.122008     
   2.42725655263E+04; -0.673796     ; 0.122364     
   2.43858872193E+04; -0.673706     ; 0.122933     
   2.44997379790E+04; -0.67361      ; 0.123373     
   2.46141202754E+04; -0.673499     ; 0.124205     
   2.47290365902E+04; -0.673169     ; 0.125107     
   2.48444894165E+04; -0.673262     ; 0.125725     
   2.49604812592E+04; -0.673121     ; 0.126413     
   2.50770146347E+04; -0.673082     ; 0.126812     
   2.51940920714E+04; -0.673104     ; 0.127512     
   2.53117161092E+04; -0.672834     ; 0.12819      
   2.54298893002E+04; -0.672829     ; 0.128799     
   2.55486142082E+04; -0.67271      ; 0.129351     
   2.56678934089E+04; -0.673229     ; 0.129962     
   2.57877294902E+04; -0.672442     ; 0.13075      
   2.59081250521E+04; -0.672428     ; 0.131476     
   2.60290827065E+04; -0.672302     ; 0.131967     
   2.61506050777E+04; -0.672816     ; 0.13262      
   2.62726948023E+04; -0.672625     ; 0.133205     
   2.63953545290E+04; -0.671898     ; 0.134022     
   2.65185869190E+04; -0.67253      ; 0.134628     
   2.66423946460E+04; -0.671638     ; 0.135237     
   2.67667803959E+04; -0.671468     ; 0.135933     
   2.68917468675E+04; -0.672003     ; 0.13659      
   2.70172967719E+04; -0.671328     ; 0.137225     
   2.71434328331E+04; -0.671247     ; 0.137898     
   2.72701577876E+04; -0.671097     ; 0.138543     
   2.73974743848E+04; -0.671201     ; 0.139404     
   2.75253853869E+04; -0.670974     ; 0.139922     
   2.76538935691E+04; -0.670701     ; 0.14067      
   2.77830017193E+04; -0.670518     ; 0.141402     
   2.79127126387E+04; -0.670345     ; 0.142106     
   2.80430291415E+04; -0.670336     ; 0.142689     
   2.81739540548E+04; -0.670686     ; 0.143528     
   2.83054902193E+04; -0.670075     ; 0.144259     
   2.84376404886E+04; -0.669829     ; 0.144947     
   2.85704077300E+04; -0.67035      ; 0.145576     
   2.87037948237E+04; -0.670252     ; 0.146253     
   2.88378046638E+04; -0.670048     ; 0.14706      
   2.89724401576E+04; -0.669224     ; 0.147692     
   2.91077042262E+04; -0.669835     ; 0.148383     
   2.92435998042E+04; -0.669633     ; 0.149188     
   2.93801298399E+04; -0.668814     ; 0.149975     
   2.95172972955E+04; -0.668639     ; 0.150591     
   2.96551051468E+04; -0.668722     ; 0.15146      
   2.97935563837E+04; -0.669103     ; 0.152009     
   2.99326540101E+04; -0.668779     ; 0.152886     
   3.00724010436E+04; -0.668812     ; 0.153444     
   3.02128005161E+04; -0.667845     ; 0.154268     
   3.03538554739E+04; -0.667694     ; 0.155136     
   3.04955689770E+04; -0.667634     ; 0.155791     
   3.06379441001E+04; -0.668193     ; 0.156502     
   3.07809839321E+04; -0.667915     ; 0.157306     
   3.09246915763E+04; -0.667084     ; 0.158123     
   3.10690701505E+04; -0.667058     ; 0.158726     
   3.12141227872E+04; -0.666796     ; 0.159576     
   3.13598526333E+04; -0.667234     ; 0.160486     
   3.15062628506E+04; -0.666415     ; 0.16102      
   3.16533566154E+04; -0.666821     ; 0.16197      
   3.18011371191E+04; -0.666776     ; 0.162731     
   3.19496075679E+04; -0.666495     ; 0.163522     
   3.20987711829E+04; -0.666313     ; 0.164338     
   3.22486312004E+04; -0.666144     ; 0.164963     
   3.23991908715E+04; -0.665341     ; 0.165849     
   3.25504534629E+04; -0.665791     ; 0.166675     
   3.27024222562E+04; -0.665578     ; 0.167422     
   3.28551005485E+04; -0.665472     ; 0.168107     
   3.30084916523E+04; -0.665231     ; 0.169076     
   3.31625988954E+04; -0.664969     ; 0.169701     
   3.33174256213E+04; -0.664769     ; 0.170736     
   3.34729751891E+04; -0.664529     ; 0.171381     
   3.36292509735E+04; -0.664271     ; 0.172396     
   3.37862563651E+04; -0.66418      ; 0.173123     
   3.39439947700E+04; -0.664026     ; 0.173765     
   3.41024696107E+04; -0.663827     ; 0.174638     
   3.42616843252E+04; -0.663505     ; 0.175408     
   3.44216423679E+04; -0.663187     ; 0.176416     
   3.45823472091E+04; -0.663267     ; 0.177141     
   3.47438023354E+04; -0.662137     ; 0.178059     
   3.49060112497E+04; -0.662125     ; 0.17874      
   3.50689774712E+04; -0.662388     ; 0.179822     
   3.52327045355E+04; -0.661709     ; 0.180433     
   3.53971959949E+04; -0.661507     ; 0.181505     
   3.55624554180E+04; -0.66128      ; 0.18213      
   3.57284863903E+04; -0.661067     ; 0.183127     
   3.58952925139E+04; -0.660496     ; 0.18388      
   3.60628774078E+04; -0.661065     ; 0.184978     
   3.62312447078E+04; -0.660785     ; 0.185817     
   3.64003980667E+04; -0.660621     ; 0.186665     
   3.65703411545E+04; -0.66037      ; 0.187534     
   3.67410776581E+04; -0.660119     ; 0.188393     
   3.69126112819E+04; -0.659968     ; 0.189149     
   3.70849457472E+04; -0.659573     ; 0.190072     
   3.72580847931E+04; -0.658626     ; 0.190942     
   3.74320321758E+04; -0.65912      ; 0.191931     
   3.76067916693E+04; -0.658762     ; 0.192716     
   3.77823670651E+04; -0.658628     ; 0.193808     
   3.79587621724E+04; -0.658278     ; 0.194656     
   3.81359808182E+04; -0.658218     ; 0.195333     
   3.83140268474E+04; -0.657687     ; 0.196442     
   3.84929041228E+04; -0.657454     ; 0.197221     
   3.86726165251E+04; -0.657149     ; 0.198363     
   3.88531679535E+04; -0.657005     ; 0.199063     
   3.90345623251E+04; -0.656582     ; 0.200215     
   3.92168035753E+04; -0.656494     ; 0.20093      
   3.93998956580E+04; -0.656105     ; 0.202109     
   3.95838425455E+04; -0.655762     ; 0.202867     
   3.97686482285E+04; -0.655289     ; 0.203818     
   3.99543167167E+04; -0.655105     ; 0.204852     
   4.01408520381E+04; -0.655077     ; 0.205869     
   4.03282582398E+04; -0.654535     ; 0.206655     
   4.05165393876E+04; -0.654339     ; 0.207625     
   4.07056995665E+04; -0.653998     ; 0.208549     
   4.08957428804E+04; -0.653713     ; 0.209396     
   4.10866734523E+04; -0.653222     ; 0.210531     
   4.12784954247E+04; -0.652964     ; 0.211449     
   4.14712129592E+04; -0.652321     ; 0.212241     
   4.16648302370E+04; -0.652053     ; 0.213177     
   4.18593514587E+04; -0.651734     ; 0.21437      
